amount produced/need, avg price, sd, char
1.062276, 0.831777, 0.655456, D
1.542656, 0.493363, 0.886107, E
0.741250, 0.694299, 1.128299, F
0.674769, 0.704775, 1.045847, G
0.945483, 0.424487, 0.902937, H
0.697360, 0.440951, 0.837633, I
0.956916, 0.596286, 1.073140, J
amount produced/need, avg price, sd, char
 year: 33, pop: 147
0.813379, 0.396510, 0.838758, A
0.832058, 0.458234, 0.913681, B
0.640616, 0.557018, 1.173946, C
1.083781, 0.654598, 0.603146, D
1.524856, 0.430435, 0.790212, E
0.734661, 0.703908, 1.027277, F
0.668804, 0.665305, 1.043388, G
0.937108, 0.397252, 0.889766, H
0.716595, 0.510071, 0.804877, I
0.948328, 0.519276, 1.014892, J
amount produced/need, avg price, sd, char
 year: 34, pop: 149
0.790977, 0.420683, 0.864716, A
0.802523, 0.491747, 0.990140, B
0.620868, 0.554025, 1.169408, C
1.144109, 0.577540, 0.656736, D
1.473839, 0.453492, 0.882151, E
0.784864, 0.810186, 1.059607, F
0.704337, 0.709390, 1.049446, G
0.909362, 0.417988, 0.922432, H
0.738143, 0.656306, 0.958996, I
0.920020, 0.525849, 1.060227, J
amount produced/need, avg price, sd, char
 year: 35, pop: 155
0.768983, 0.478122, 0.974754, A
0.781480, 0.492698, 0.948876, B
0.608121, 0.554635, 1.156436, C
1.200541, 0.503628, 0.634865, D
1.438196, 0.455263, 0.860093, E
0.783216, 0.904376, 1.075458, F
0.713767, 0.747350, 1.037158, G
0.885676, 0.412295, 0.897695, H
0.772869, 0.825831, 1.155175, I
0.893352, 0.543381, 1.101619, J
amount produced/need, avg price, sd, char
 year: 36, pop: 161
0.748178, 0.567953, 1.039520, A
0.755370, 0.504309, 0.949285, B
0.589607, 0.573573, 1.171886, C
1.170252, 0.470602, 0.683510, D
1.395995, 0.453243, 0.872069, E
0.827025, 1.027241, 1.161019, F
0.694261, 0.806520, 0.997264, G
0.859298, 0.424031, 0.914095, H
0.860055, 0.997055, 1.070166, I
0.864131, 0.531048, 1.060703, J
amount produced/need, avg price, sd, char
 year: 37, pop: 167
0.724231, 0.780603, 1.388036, A
0.730135, 0.521218, 0.977879, B
0.567032, 0.595969, 1.189166, C
1.133844, 0.480137, 0.805013, D
1.345461, 0.471866, 0.908675, E
0.879735, 1.080674, 1.056545, F
0.669200, 0.931171, 1.114021, G
0.827195, 0.457830, 0.966820, H
1.013559, 1.114492, 1.064253, I
0.833930, 0.540695, 1.083536, J
amount produced/need, avg price, sd, char
 year: 38, pop: 170
0.712483, 1.028208, 1.922312, A
0.722094, 0.469285, 0.883602, B
0.557612, 0.580821, 1.152205, C
1.118925, 0.387063, 0.571546, D
1.327442, 0.415618, 0.794826, E
0.866096, 1.066432, 1.005877, F
0.680536, 0.971770, 0.988085, G
0.814458, 0.418645, 0.825498, H
1.116672, 0.896993, 0.816838, I
0.820062, 0.469108, 0.964798, J
amount produced/need, avg price, sd, char
 year: 39, pop: 170
0.703753, 1.400580, 2.733245, A
0.710359, 0.453020, 0.897148, B
0.547904, 0.621313, 1.113081, C
1.099633, 0.353587, 0.608734, D
1.307020, 0.374665, 0.748239, E
0.862731, 1.080378, 1.067100, F
0.745386, 1.043020, 0.927968, G
0.801432, 0.466017, 0.852585, H
1.149066, 0.710815, 0.825487, I
0.810182, 0.456335, 1.020109, J
amount produced/need, avg price, sd, char
 year: 40, pop: 178
0.680038, 1.784289, 3.495367, A
0.686557, 0.484301, 0.946395, B
0.530025, 0.758011, 1.197207, C
1.060769, 0.374148, 0.691434, D
1.262620, 0.408546, 0.847529, E
0.906129, 1.033348, 1.106753, F
0.848032, 1.183048, 0.972817, G
0.772810, 0.487607, 0.893071, H
1.179109, 0.619255, 0.753904, I
0.787748, 0.471114, 1.031505, J
amount produced/need, avg price, sd, char
 year: 41, pop: 183
0.735548, 2.147033, 4.244694, A
0.664297, 0.471438, 0.883590, B
0.510673, 0.974546, 1.455615, C
1.032854, 0.343709, 0.588310, D
1.227438, 0.401538, 0.805714, E
0.930963, 1.000659, 1.161027, F
0.977672, 1.187502, 0.952116, G
0.750277, 0.549657, 0.907661, H
1.144152, 0.549595, 0.772621, I
0.764149, 0.494783, 1.051502, J
amount produced/need, avg price, sd, char
 year: 42, pop: 180
0.795150, 2.734894, 5.860438, A
0.660283, 0.484996, 0.908110, B
0.521814, 1.274855, 1.952052, C
1.021481, 0.284791, 0.473234, D
1.214901, 0.362401, 0.753265, E
0.921059, 0.983319, 1.233750, F
0.967354, 1.038979, 0.892485, G
0.742669, 0.605659, 0.986469, H
1.132356, 0.456921, 0.692720, I
0.754792, 0.464842, 0.978895, J
