amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
1.464701, 0.457838, 0.055038, 2.021896, 7.780000, C
1.168551, 0.542102, 0.076632, 2.585320, 7.780000, D
1.127113, 0.432073, 0.052070, 2.509260, 7.780000, E
0.671035, 0.597235, 0.081565, 4.986297, 7.780000, F
0.772478, 0.436082, 0.052605, 2.632789, 7.780000, G
0.516535, 0.462620, 0.045955, 4.087576, 7.780000, H
0.637623, 0.408201, 0.056698, 4.042147, 7.780000, I
2.501958, 0.464290, 0.051354, 2.240037, 7.780000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 29
0.387918, 0.483906, 0.064566, 2.978407, 7.780000, A
1.044679, 0.408173, 0.049670, 1.912332, 7.780000, B
1.464701, 0.412413, 0.049614, 2.021896, 7.780000, C
1.168551, 0.472289, 0.056423, 2.585320, 7.780000, D
1.127113, 0.456734, 0.060501, 2.509260, 7.780000, E
0.671035, 0.474935, 0.062610, 4.986297, 7.780000, F
0.772478, 0.474800, 0.064402, 2.632789, 7.780000, G
0.516535, 0.394402, 0.044887, 4.087576, 7.780000, H
0.637623, 0.336987, 0.053434, 4.042147, 7.780000, I
2.501958, 0.392758, 0.049250, 2.240037, 7.780000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 30
0.387918, 0.411459, 0.047259, 2.978407, 7.690000, A
1.044679, 0.352456, 0.047272, 1.912332, 7.690000, B
1.464701, 0.381355, 0.043949, 2.021896, 7.690000, C
1.168551, 0.402476, 0.046946, 2.585320, 7.690000, D
1.127113, 0.419331, 0.053919, 2.509260, 7.690000, E
0.671035, 0.377258, 0.049337, 4.986297, 7.690000, F
0.772478, 0.430002, 0.042234, 2.632789, 7.690000, G
0.516535, 0.357052, 0.043108, 4.087576, 7.690000, H
0.637623, 0.295630, 0.044357, 4.042147, 7.690000, I
2.501958, 0.333820, 0.047861, 2.240037, 7.690000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 31
0.387918, 0.342598, 0.034593, 2.978407, 7.790000, A
1.044679, 0.323700, 0.048319, 1.912332, 7.790000, B
1.464701, 0.371081, 0.035330, 2.021896, 7.790000, C
1.168551, 0.335857, 0.040103, 2.585320, 7.790000, D
1.127113, 0.352470, 0.039845, 2.509260, 7.790000, E
0.671035, 0.309312, 0.042440, 4.986297, 7.790000, F
0.772478, 0.355476, 0.034952, 2.632789, 7.790000, G
0.516535, 0.394581, 0.048996, 4.087576, 7.790000, H
0.637623, 0.315589, 0.042507, 4.042147, 7.790000, I
2.501958, 0.298490, 0.042606, 2.240037, 7.790000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 32
0.387918, 0.294656, 0.029095, 2.978407, 7.810000, A
1.044679, 0.303263, 0.040743, 1.912332, 7.810000, B
1.464701, 0.331593, 0.029767, 2.021896, 7.810000, C
1.168551, 0.282876, 0.037332, 2.585320, 7.810000, D
1.127113, 0.298898, 0.035563, 2.509260, 7.810000, E
0.671035, 0.286383, 0.037674, 4.986297, 7.810000, F
0.772478, 0.298130, 0.030320, 2.632789, 7.810000, G
0.516535, 0.321313, 0.034047, 4.087576, 7.810000, H
0.637623, 0.380252, 0.054026, 4.042147, 7.810000, I
2.501958, 0.281019, 0.040866, 2.240037, 7.810000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 33
0.387918, 0.270275, 0.032700, 2.978407, 7.690000, A
1.044679, 0.281786, 0.040349, 1.912332, 7.690000, B
1.464701, 0.283967, 0.028120, 2.021896, 7.690000, C
1.168551, 0.249737, 0.035176, 2.585320, 7.690000, D
1.127113, 0.260866, 0.034322, 2.509260, 7.690000, E
0.671035, 0.324185, 0.041386, 4.986297, 7.690000, F
0.772478, 0.259634, 0.029369, 2.632789, 7.690000, G
