amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
0.637623, 2.614339, 0.234827, 4.042147, 7.260000, I
2.501958, 2.501380, 0.269295, 2.240037, 7.260000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 21
0.387918, 2.471828, 0.207780, 2.978407, 7.340000, A
1.044679, 2.450035, 0.223584, 1.912332, 7.340000, B
1.464701, 2.445433, 0.245564, 2.021896, 7.340000, C
1.168551, 2.472052, 0.235726, 2.585320, 7.340000, D
1.127113, 2.455972, 0.221140, 2.509260, 7.340000, E
0.671035, 2.594128, 0.210489, 4.986297, 7.340000, F
0.772478, 2.447230, 0.224152, 2.632789, 7.340000, G
0.516535, 2.476009, 0.200786, 4.087576, 7.340000, H
0.637623, 2.480943, 0.222515, 4.042147, 7.340000, I
2.501958, 2.475476, 0.250921, 2.240037, 7.340000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 22
0.387918, 2.391510, 0.206053, 2.978407, 7.180000, A
1.044679, 2.399280, 0.231815, 1.912332, 7.180000, B
1.464701, 2.357673, 0.240028, 2.021896, 7.180000, C
1.168551, 2.430590, 0.227444, 2.585320, 7.180000, D
1.127113, 2.397434, 0.213341, 2.509260, 7.180000, E
0.671035, 2.512370, 0.199734, 4.986297, 7.180000, F
0.772478, 2.371468, 0.213261, 2.632789, 7.180000, G
0.516535, 2.428970, 0.202776, 4.087576, 7.180000, H
0.637623, 2.402906, 0.224425, 4.042147, 7.180000, I
2.501958, 2.430819, 0.235196, 2.240037, 7.180000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 23
0.387918, 2.392429, 0.201245, 2.978407, 7.230000, A
1.044679, 2.336891, 0.230036, 1.912332, 7.230000, B
1.464701, 2.275925, 0.232651, 2.021896, 7.230000, C
1.168551, 2.349636, 0.219461, 2.585320, 7.230000, D
1.127113, 2.305423, 0.192129, 2.509260, 7.230000, E
0.671035, 2.415327, 0.184879, 4.986297, 7.230000, F
0.772478, 2.311201, 0.209779, 2.632789, 7.230000, G
0.516535, 2.402901, 0.216037, 4.087576, 7.230000, H
0.637623, 2.359288, 0.224565, 4.042147, 7.230000, I
2.501958, 2.325484, 0.219346, 2.240037, 7.230000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 24
0.387918, 2.307629, 0.186517, 2.978407, 7.170000, A
1.044679, 2.270411, 0.234720, 1.912332, 7.170000, B
1.464701, 2.224276, 0.233820, 2.021896, 7.170000, C
1.168551, 2.247753, 0.203772, 2.585320, 7.170000, D
1.127113, 2.243716, 0.207889, 2.509260, 7.170000, E
0.671035, 2.378188, 0.197342, 4.986297, 7.170000, F
0.772478, 2.251076, 0.205850, 2.632789, 7.170000, G
0.516535, 2.385073, 0.211889, 4.087576, 7.170000, H
0.637623, 2.332659, 0.225470, 4.042147, 7.170000, I
2.501958, 2.257731, 0.214944, 2.240037, 7.170000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 25
0.387918, 2.213488, 0.188307, 2.978407, 7.080000, A
1.044679, 2.207616, 0.237624, 1.912332, 7.080000, B
1.464701, 2.186903, 0.238492, 2.021896, 7.080000, C
1.168551, 2.193160, 0.209419, 2.585320, 7.080000, D
1.127113, 2.188754, 0.202305, 2.509260, 7.080000, E
0.671035, 2.282893, 0.190266, 4.986297, 7.080000, F
0.772478, 2.222481, 0.205676, 2.632789, 7.080000, G
0.516535, 2.300031, 0.195033, 4.087576, 7.080000, H
0.637623, 2.296665, 0.211962, 4.042147, 7.080000, I
2.501958, 2.165427, 0.205501, 2.240037, 7.080000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 26
0.387918, 2.140998, 0.193404, 2.978407, 7.150000, A
1.044679, 2.140822, 0.222120, 1.912332, 7.150000, B
1.464701, 2.132976, 0.220843, 2.021896, 7.150000, C
1.168551, 2.148818, 0.203341, 2.585320, 7.150000, D
1.127113, 2.152766, 0.205243, 2.509260, 7.150000, E
0.671035, 2.229049, 0.190638, 4.986297, 7.150000, F
0.772478, 2.198998, 0.208041, 2.632789, 7.150000, G
