amount produced/need, avg price, sd, consumption_rate, char
 year: 1
1.427492, 0.039550, 0.007034, 2.021896,C
1.315148, 0.041266, 0.006742, 2.585320,D
1.174297, 0.040912, 0.006812, 2.509260,E
0.437581, 0.042795, 0.005945, 4.986297,F
1.703011, 0.041123, 0.006683, 2.632789,G
0.685894, 0.042462, 0.006081, 4.087576,H
0.492440, 0.043756, 0.005736, 4.042147,I
2.089728, 0.040401, 0.006358, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 46
1.236869, 0.035972, 0.005943, 2.978407,A
2.009290, 0.033899, 0.006012, 1.912332,B
1.427492, 0.034798, 0.006202, 2.021896,C
1.315148, 0.036891, 0.006020, 2.585320,D
1.174297, 0.035925, 0.005713, 2.509260,E
0.437581, 0.038110, 0.005228, 4.986297,F
1.703011, 0.036656, 0.005689, 2.632789,G
0.685894, 0.036932, 0.005297, 4.087576,H
0.492440, 0.038070, 0.005001, 4.042147,I
2.089728, 0.035448, 0.005791, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 47
1.236869, 0.031051, 0.005277, 2.978407,A
2.009290, 0.029771, 0.005157, 1.912332,B
1.427492, 0.030659, 0.005299, 2.021896,C
1.315148, 0.032667, 0.005163, 2.585320,D
1.174297, 0.031389, 0.004966, 2.509260,E
0.437581, 0.033620, 0.004499, 4.986297,F
1.703011, 0.032567, 0.005172, 2.632789,G
0.685894, 0.032037, 0.004584, 4.087576,H
0.492440, 0.033145, 0.004236, 4.042147,I
2.089728, 0.031349, 0.004887, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 48
1.236869, 0.026913, 0.004773, 2.978407,A
2.009290, 0.026659, 0.004882, 1.912332,B
1.427492, 0.027061, 0.004936, 2.021896,C
1.315148, 0.028468, 0.004513, 2.585320,D
1.174297, 0.027694, 0.004367, 2.509260,E
0.437581, 0.030009, 0.004107, 4.986297,F
1.703011, 0.028496, 0.004725, 2.632789,G
0.685894, 0.028149, 0.004233, 4.087576,H
0.492440, 0.028711, 0.003898, 4.042147,I
2.089728, 0.027844, 0.004373, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 49
1.236869, 0.023363, 0.004210, 2.978407,A
2.009290, 0.023710, 0.004274, 1.912332,B
1.427492, 0.023967, 0.004427, 2.021896,C
1.315148, 0.025053, 0.003879, 2.585320,D
1.174297, 0.024418, 0.003976, 2.509260,E
0.437581, 0.025863, 0.003573, 4.986297,F
1.703011, 0.024925, 0.004199, 2.632789,G
0.685894, 0.024858, 0.003838, 4.087576,H
0.492440, 0.025018, 0.003506, 4.042147,I
2.089728, 0.024868, 0.004050, 2.240037,J
amount produced/need, avg price, sd, consumption_rate, char
 year: 50
1.236869, 0.020218, 0.003776, 2.978407,A
2.009290, 0.021337, 0.003729, 1.912332,B
1.427492, 0.021145, 0.003907, 2.021896,C
1.315148, 0.021798, 0.003367, 2.585320,D
1.174297, 0.021251, 0.003593, 2.509260,E
0.437581, 0.022592, 0.003268, 4.986297,F
1.703011, 0.021557, 0.003816, 2.632789,G
0.685894, 0.021759, 0.003433, 4.087576,H
