amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
1.127113, 1.473596, 0.159482, 2.509260, 8.010000, E
0.671035, 1.262869, 0.131490, 4.986297, 8.010000, F
0.772478, 1.414785, 0.143770, 2.632789, 8.010000, G
0.516535, 1.378339, 0.109968, 4.087576, 8.010000, H
0.637623, 1.424016, 0.118331, 4.042147, 8.010000, I
2.501958, 1.388813, 0.145081, 2.240037, 8.010000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 25
0.387918, 1.223508, 0.115316, 2.978407, 8.090000, A
1.044679, 1.127179, 0.130794, 1.912332, 8.090000, B
1.464701, 1.349070, 0.122818, 2.021896, 8.090000, C
1.168551, 1.280262, 0.127906, 2.585320, 8.090000, D
1.127113, 1.298654, 0.129442, 2.509260, 8.090000, E
0.671035, 1.303457, 0.156681, 4.986297, 8.090000, F
0.772478, 1.324415, 0.132787, 2.632789, 8.090000, G
0.516535, 1.297161, 0.112766, 4.087576, 8.090000, H
0.637623, 1.319601, 0.106564, 4.042147, 8.090000, I
2.501958, 1.253737, 0.121608, 2.240037, 8.090000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 26
0.387918, 1.215037, 0.133434, 2.978407, 8.010000, A
1.044679, 1.139155, 0.153959, 1.912332, 8.010000, B
1.464701, 1.235031, 0.099042, 2.021896, 8.010000, C
1.168551, 1.180702, 0.110388, 2.585320, 8.010000, D
1.127113, 1.171989, 0.115844, 2.509260, 8.010000, E
0.671035, 1.346158, 0.155722, 4.986297, 8.010000, F
0.772478, 1.236351, 0.123198, 2.632789, 8.010000, G
0.516535, 1.291083, 0.116894, 4.087576, 8.010000, H
0.637623, 1.233736, 0.103733, 4.042147, 8.010000, I
2.501958, 1.152542, 0.117357, 2.240037, 8.010000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 27
0.387918, 1.134701, 0.112929, 2.978407, 7.940000, A
1.044679, 1.122434, 0.141066, 1.912332, 7.940000, B
1.464701, 1.128142, 0.091355, 2.021896, 7.940000, C
1.168551, 1.128466, 0.111255, 2.585320, 7.940000, D
1.127113, 1.064234, 0.105553, 2.509260, 7.940000, E
0.671035, 1.219433, 0.130132, 4.986297, 7.940000, F
0.772478, 1.158196, 0.120354, 2.632789, 7.940000, G
0.516535, 1.202001, 0.090106, 4.087576, 7.940000, H
0.637623, 1.273651, 0.121667, 4.042147, 7.940000, I
2.501958, 1.056262, 0.117608, 2.240037, 7.940000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 28
0.387918, 1.091762, 0.127175, 2.978407, 8.050000, A
1.044679, 1.127209, 0.124474, 1.912332, 8.050000, B
1.464701, 1.050846, 0.093073, 2.021896, 8.050000, C
1.168551, 1.126514, 0.114020, 2.585320, 8.050000, D
1.127113, 1.011723, 0.107686, 2.509260, 8.050000, E
0.671035, 1.111892, 0.116848, 4.986297, 8.050000, F
0.772478, 1.071327, 0.111412, 2.632789, 8.050000, G
0.516535, 1.128784, 0.090421, 4.087576, 8.050000, H
0.637623, 1.124086, 0.097435, 4.042147, 8.050000, I
2.501958, 1.005730, 0.119804, 2.240037, 8.050000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 29
0.387918, 1.024522, 0.109513, 2.978407, 8.020000, A
1.044679, 1.047067, 0.114295, 1.912332, 8.020000, B
1.464701, 0.979090, 0.099673, 2.021896, 8.020000, C
1.168551, 1.021176, 0.094370, 2.585320, 8.020000, D
1.127113, 1.040097, 0.110825, 2.509260, 8.020000, E
0.671035, 1.037448, 0.113975, 4.986297, 8.020000, F
0.772478, 1.005699, 0.098435, 2.632789, 8.020000, G
0.516535, 1.082501, 0.097393, 4.087576, 8.020000, H
0.637623, 0.997139, 0.093447, 4.042147, 8.020000, I
2.501958, 1.019229, 0.124534, 2.240037, 8.020000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 30
0.387918, 1.000400, 0.104238, 2.978407, 8.070000, A
1.044679, 0.940553, 0.088407, 1.912332, 8.070000, B
1.464701, 0.950425, 0.110119, 2.021896, 8.070000, C
1.168551, 0.943455, 0.091272, 2.585320, 8.070000, D
1.127113, 0.999600, 0.097767, 2.509260, 8.070000, E
0.671035, 1.002295, 0.096368, 4.986297, 8.070000, F
0.772478, 0.974472, 0.098866, 2.632789, 8.070000, G
0.516535, 0.988220, 0.087153, 4.087576, 8.070000, H
0.637623, 0.913952, 0.095329, 4.042147, 8.070000, I
2.501958, 0.955685, 0.107407, 2.240037, 8.070000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 31
0.387918, 0.937752, 0.080958, 2.978407, 7.990000, A
1.044679, 0.859883, 0.082132, 1.912332, 7.990000, B
1.464701, 0.879083, 0.092350, 2.021896, 7.990000, C
1.168551, 0.885881, 0.090010, 2.585320, 7.990000, D
1.127113, 0.952766, 0.096093, 2.509260, 7.990000, E
0.671035, 0.974715, 0.090514, 4.986297, 7.990000, F
0.772478, 0.928104, 0.079184, 2.632789, 7.990000, G
0.516535, 0.901234, 0.081668, 4.087576, 7.990000, H
0.637623, 0.918068, 0.093757, 4.042147, 7.990000, I
2.501958, 0.901559, 0.094880, 2.240037, 7.990000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 32
0.387918, 0.868707, 0.073391, 2.978407, 7.980000, A
1.044679, 0.792585, 0.077897, 1.912332, 7.980000, B
1.464701, 0.825789, 0.083876, 2.021896, 7.980000, C
1.168551, 0.849570, 0.093598, 2.585320, 7.980000, D
1.127113, 0.858841, 0.086088, 2.509260, 7.980000, E
0.671035, 0.886234, 0.073117, 4.986297, 7.980000, F
0.772478, 0.854528, 0.070713, 2.632789, 7.980000, G
0.516535, 0.844037, 0.083980, 4.087576, 7.980000, H
0.637623, 0.894663, 0.091787, 4.042147, 7.980000, I
2.501958, 0.870556, 0.093999, 2.240037, 7.980000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 33
0.387918, 0.809119, 0.072070, 2.978407, 8.020000, A
1.044679, 0.739784, 0.081792, 1.912332, 8.020000, B
1.464701, 0.808508, 0.081724, 2.021896, 8.020000, C
1.168551, 0.849635, 0.095555, 2.585320, 8.020000, D
1.127113, 0.786349, 0.073913, 2.509260, 8.020000, E
0.671035, 0.807680, 0.068830, 4.986297, 8.020000, F
0.772478, 0.809713, 0.079734, 2.632789, 8.020000, G
0.516535, 0.849220, 0.100284, 4.087576, 8.020000, H
0.637623, 0.838496, 0.069024, 4.042147, 8.020000, I
2.501958, 0.792092, 0.080525, 2.240037, 8.020000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 34
0.387918, 0.743622, 0.066634, 2.978407, 8.000000, A
1.044679, 0.709871, 0.082456, 1.912332, 8.000000, B
1.464701, 0.755018, 0.074998, 2.021896, 8.000000, C
1.168551, 0.776331, 0.080114, 2.585320, 8.000000, D
1.127113, 0.727000, 0.077123, 2.509260, 8.000000, E
0.671035, 0.767863, 0.076201, 4.986297, 8.000000, F
0.772478, 0.796422, 0.081885, 2.632789, 8.000000, G
0.516535, 0.799869, 0.082281, 4.087576, 8.000000, H
0.637623, 0.777105, 0.057754, 4.042147, 8.000000, I
2.501958, 0.730594, 0.079401, 2.240037, 8.000000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 35
0.387918, 0.701309, 0.066528, 2.978407, 8.040000, A
1.044679, 0.711088, 0.078556, 1.912332, 8.040000, B
1.464701, 0.717860, 0.076887, 2.021896, 8.040000, C
1.168551, 0.703505, 0.067744, 2.585320, 8.040000, D
1.127113, 0.680555, 0.071014, 2.509260, 8.040000, E
0.671035, 0.798099, 0.073237, 4.986297, 8.040000, F
0.772478, 0.720984, 0.073540, 2.632789, 8.040000, G
0.516535, 0.716846, 0.067208, 4.087576, 8.040000, H
0.637623, 0.740082, 0.054768, 4.042147, 8.040000, I
2.501958, 0.667837, 0.076273, 2.240037, 8.040000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 36
0.387918, 0.706461, 0.071347, 2.978407, 8.070000, A
1.044679, 0.691131, 0.076359, 1.912332, 8.070000, B
1.464701, 0.682510, 0.071565, 2.021896, 8.070000, C
1.168551, 0.637997, 0.064924, 2.585320, 8.070000, D
1.127113, 0.670763, 0.068333, 2.509260, 8.070000, E
0.671035, 0.697635, 0.060550, 4.986297, 8.070000, F
0.772478, 0.655538, 0.070985, 2.632789, 8.070000, G
0.516535, 0.673135, 0.066154, 4.087576, 8.070000, H
0.637623, 0.718867, 0.062400, 4.042147, 8.070000, I
2.501958, 0.639027, 0.075392, 2.240037, 8.070000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 37
0.387918, 0.665856, 0.065113, 2.978407, 7.920000, A
1.044679, 0.648708, 0.063341, 1.912332, 7.920000, B
1.464701, 0.635377, 0.068033, 2.021896, 7.920000, C
1.168551, 0.590808, 0.058288, 2.585320, 7.920000, D
1.127113, 0.679491, 0.073423, 2.509260, 7.920000, E
0.671035, 0.617551, 0.056650, 4.986297, 7.920000, F
0.772478, 0.600208, 0.069428, 2.632789, 7.920000, G
0.516535, 0.656679, 0.064810, 4.087576, 7.920000, H
0.637623, 0.669408, 0.059228, 4.042147, 7.920000, I
2.501958, 0.639248, 0.071410, 2.240037, 7.920000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 38
0.387918, 0.611373, 0.053241, 2.978407, 7.970000, A
1.044679, 0.597513, 0.049848, 1.912332, 7.970000, B
1.464701, 0.585068, 0.057330, 2.021896, 7.970000, C
1.168551, 0.571444, 0.060548, 2.585320, 7.970000, D
1.127113, 0.631188, 0.061105, 2.509260, 7.970000, E
0.671035, 0.559022, 0.057279, 4.986297, 7.970000, F
0.772478, 0.588477, 0.075759, 2.632789, 7.970000, G
0.516535, 0.628933, 0.063176, 4.087576, 7.970000, H
0.637623, 0.609721, 0.057952, 4.042147, 7.970000, I
2.501958, 0.627438, 0.067889, 2.240037, 7.970000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 39
0.387918, 0.565726, 0.045644, 2.978407, 8.110000, A
1.044679, 0.554294, 0.051067, 1.912332, 8.110000, B
1.464701, 0.539026, 0.053092, 2.021896, 8.110000, C
1.168551, 0.580419, 0.063945, 2.585320, 8.110000, D
1.127113, 0.564500, 0.051656, 2.509260, 8.110000, E
0.671035, 0.589657, 0.063155, 4.986297, 8.110000, F
0.772478, 0.590694, 0.071993, 2.632789, 8.110000, G
0.516535, 0.582725, 0.053871, 4.087576, 8.110000, H
0.637623, 0.569774, 0.054286, 4.042147, 8.110000, I
2.501958, 0.574876, 0.059145, 2.240037, 8.110000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 40
0.387918, 0.540607, 0.045904, 2.978407, 8.070000, A
1.044679, 0.517648, 0.049801, 1.912332, 8.070000, B
1.464701, 0.501956, 0.054373, 2.021896, 8.070000, C
1.168551, 0.552252, 0.061784, 2.585320, 8.070000, D
1.127113, 0.516630, 0.050065, 2.509260, 8.070000, E
0.671035, 0.597166, 0.056250, 4.986297, 8.070000, F
0.772478, 0.552655, 0.063058, 2.632789, 8.070000, G
0.516535, 0.552775, 0.050804, 4.087576, 8.070000, H
0.637623, 0.547944, 0.058059, 4.042147, 8.070000, I
